,Factor Score,Factor Score,Squared cosines,Squared cosines,Contributions x 1000,Contributions x 1000,SUFFIX
,1,2,1,2,1,2,
,,,,,,,
lfrancopho,-0.0046517754253664525,0.048783692968616246,,,,,
canadian_b,1.4617988795570636,0.04653450047814786,,,,,
alberta_ed,0.13520654028571194,-0.9990048485705821,,,,,
ottawa_sho,-0.47637858658923843,-0.0007399764293507321,,,,,
alberta_fl,-0.19814543557170788,-0.003955708814943906,,,,,
canadian_p,0.13274961382050088,0.3548960500648743,,,,,
